Date,Category,Sales,Quantity,Profit,Region,Month,Profit Margin %
2023-10-01,Sports,1061.69504,,188.3261081,West,October,0.177
2023-10-01,Books,566.9549945,16,195.6939619,North,October,0.345
2023-11-01,Electronics,486.8411264,1,62.28198955,West,November,0.128
2023-11-01,Clothing,1035.693548,5,383.3365063,East,November,0.370
2023-11-01,Home Goods,819.5808263,19,260.4518892,East,November,0.318
2023-11-01,Sports,746.0156929,1,218.2912743,East,November,0.293
2023-11-01,Books,1256.199336,16,163.860479,East,November,0.130
2023-12-01,Electronics,1536.578157,18,227.7860575,South,December,0.148
2023-12-01,Clothing,136.162932,9,20.80264266,West,December,0.153
2023-12-01,Home Goods,759.0467005,1,188.3711885,West,December,0.248
2023-12-01,Sports,1230.993208,7,389.3409658,West,December,0.316
2023-12-01,Books,0,1,362.7474658,East,December,
2023-01-13,Electronics,589,14,163.1408925,South,January,0.277
2023-01-13,Clothing,768.4657752,13,189.0599833,West,January,0.246
2023-01-13,Home Goods,1362.814591,1,372.1453686,West,January,0.273
2023-01-13,Sports,1161.388001,1,184.1646591,North,January,0.159
2023-01-13,Books,1835.181414,17,207.5243908,West,January,0.113
2023-01-14,Electronics,990.6439605,14,370.9558609,East,January,0.374
2023-01-14,Clothing,1181.838809,3,465.7620543,West,January,0.394
2023-01-14,Home Goods,416.7311219,1,81.29449101,West,January,0.195
2023-01-14,Sports,597.5789506,3,161.9548618,West,January,0.271
2023-01-14,Books,513,18,146.0894774,South,January,0.285
2023-01-15,Electronics,608.2907338,10,220.9384463,North,January,0.363
2023-01-15,Clothing,774.7714471,8,239.485513,East,January,0.309
2023-01-15,Home Goods,1135,10,389.064235,East,January,0.343
2023-01-15,Sports,1533.677303,,552.3104709,North,January,0.360
2023-01-15,Books,645.0203136,8,200.3368999,West,January,0.311
2023-01-16,Electronics,1148.498696,14,421.500862,East,January,0.367
2023-01-16,Clothing,1020.505375,19,244.5941216,East,January,0.240
2023-01-16,Home Goods,877.1773508,17,97.54603066,South,January,0.111
2023-01-16,Sports,1106.325876,5,283.9639571,North,January,0.257
2023-01-16,Books,435.9062235,12,169.8184064,East,January,0.390
2023-01-17,Electronics,1716.710787,8,545.6177263,,January,0.318
2023-01-17,Clothing,1553,18,395.8504821,South,January,0.255
2023-01-17,Home Goods,967.8416575,19,224.240614,East,January,0.232
2023-01-17,Sports,854.1348143,5,132.647224,South,January,0.155
2023-01-17,Books,1151.496184,1,175.0139428,North,January,0.152
2023-01-18,Electronics,1259.726558,15,220.5439433,South,January,0.175
2023-01-18,Clothing,1055.156654,7,313.5222827,North,January,0.297
2023-01-18,Home Goods,1173.369141,3,204.5408835,,January,0.174
2023-01-18,Sports,795.9986998,15,89.32589208,South,January,0.112
2023-01-18,Books,920.9782465,5,223.1089592,South,January,0.242
2023-01-19,,1209.727715,4,183.8309021,South,January,0.152
2023-01-19,Clothing,1179.96899,5,259.0638677,South,January,0.220
2023-01-19,Home Goods,1000.544083,5,305.3551791,West,January,0.305
2023-01-19,Sports,1226.780585,16,359.1103077,North,January,0.293
2023-01-19,Books,1103.220439,12,238.7931429,West,January,0.216
2023-01-20,Electronics,1277.869763,1,303.46323,East,January,0.237
2023-01-20,Clothing,1133.886804,1,440.3530695,South,January,0.388
2023-01-20,Home Goods,1340.872695,11,212.8465655,North,January,0.159
2023-01-20,Sports,836.4887154,19,238.7975908,East,January,0.285
2023-01-20,Books,619.7853095,17,183.9007079,North,January,0.297
2023-01-21,,823.1905729,4,253.4333007,South,January,0.308
2023-01-21,Clothing,1254.880629,13,478.1025495,West,January,0.381
2023-01-21,Home Goods,0,4,190.5987762,North,January,
2023-01-21,Sports,1188.888653,3,472.1689624,West,January,0.397
2023-01-21,Books,890,5,152.6489404,East,January,0.172
2023-01-22,Electronics,835.6829551,13,269.0670373,East,January,0.322
2023-01-22,Clothing,1391.643642,13,513.0391264,North,January,0.369
2023-01-22,Home Goods,1006.301152,4,103.9018976,North,January,0.103
2023-01-22,Sports,876.6128228,14,265.6408352,West,January,0.303
2023-01-22,Books,1295.207063,19,321.0918006,West,January,0.248
2023-01-23,Electronics,462.38647,4,177.4909134,West,January,0.384
2023-01-23,Clothing,865.9679465,7,110.2912632,South,January,0.127
2023-01-23,Home Goods,1544.099973,15,220.648033,South,January,0.143
2023-01-23,Sports,1121.374869,12,403.762921,,January,0.360
2023-01-23,Books,1073.489971,10,235.0894522,East,January,0.219
2023-01-24,Electronics,847.9170474,2,105.4848101,North,January,0.124
2023-01-24,Clothing,1133.65207,13,239.4189783,West,January,0.211
2023-01-24,Home Goods,561.4730032,17,215.7036514,North,January,0.384
2023-01-24,Sports,477.0144258,19,158.9145296,South,January,0.333
2023-01-24,Books,1320.843386,7,300.183589,South,January,0.227
2023-01-25,Electronics,782.6998614,13,80.935935,West,January,0.103
2023-01-25,Clothing,437.2664084,8,59.14372479,North,January,0.135
2023-01-25,Home Goods,1252.051348,17,156.3403921,North,January,0.125
2023-01-25,Sports,1340.002608,6,309.4076064,South,January,0.231
2023-01-25,Books,1067.227745,5,187.7222124,East,January,0.176
2023-01-26,Electronics,1003.77772,18,150.4307762,North,January,0.150
2023-01-26,Clothing,870.4173395,3,322.3568013,North,January,0.370
2023-01-26,Home Goods,1557.990102,11,287.1203707,West,January,0.184
2023-01-26,Sports,957,8,144.4173673,West,January,0.151
2023-01-26,Books,0,8,168.8872778,South,January,
2023-01-27,Electronics,760.5294346,4,301.0656334,South,January,0.396
2023-01-27,Clothing,598.6465529,17,110.108493,North,January,0.184
2023-01-27,Home Goods,1171.404253,13,437.2596188,North,January,0.373
2023-01-27,Sports,0,6,497.0179982,West,January,
2023-01-27,Books,1234.082549,10,468.7274383,South,January,0.380
2023-01-28,Electronics,1045.323989,13,156.2239611,West,January,0.149
2023-01-28,Clothing,1353.832036,15,196.4749654,North,January,0.145
2023-01-28,Home Goods,859.2473044,17,302.0242343,South,January,0.351
2023-01-28,Sports,0,5,439.9822248,,January,
2023-01-28,Books,1573.458882,5,500.1022756,South,January,0.318
2023-01-29,Electronics,865,14,139.7060904,North,January,0.162
2023-01-29,Clothing,1186.85498,19,216.5055384,West,January,0.182
2023-01-29,Home Goods,1213.484463,2,251.7359145,West,January,0.207
2023-01-29,Sports,662.6073724,7,199.7575424,South,January,0.301
2023-01-29,Books,1382.638975,18,491.7417042,South,January,0.356
2023-01-30,Electronics,972.5301818,12,260.9117504,South,January,0.268
2023-01-30,Clothing,1124.11384,15,254.2304107,North,January,0.226
2023-01-30,Home Goods,1402.626551,14,436.5309482,East,January,0.311
2023-01-30,Sports,1070.039739,2,219.5467599,South,January,0.205
2023-01-30,Books,1240.795677,18,270.0879823,East,January,0.218
2023-01-31,Electronics,1075.358492,6,253.0029627,East,January,0.235
2023-01-31,Clothing,863.8610005,10,309.8748129,North,January,0.359
2023-01-31,Home Goods,941.5989214,17,233.1727434,West,January,0.248
2023-01-31,Sports,,5,561.8192807,North,January,
2023-01-31,Books,655.5835282,11,112.7890064,East,January,0.172
2023-01-02,Electronics,819.3231391,15,113.6105554,East,January,0.139
2023-01-02,Clothing,470.7619302,16,137.5860226,West,January,0.292
2023-01-02,Home Goods,1449.966603,4,295.3584652,East,January,0.204
2023-01-02,Sports,1013.1108,18,284.2592552,East,January,0.281
2023-01-02,Books,1322.104604,19,458.1584156,South,January,0.347
2023-02-02,Electronics,755.350278,6,102.8717294,North,February,0.136
2023-02-02,Clothing,832.292352,12,134.7482279,South,February,0.162
2023-02-02,Home Goods,887.6016015,9,113.3353418,East,February,0.128
2023-02-02,Sports,754.3969044,15,191.2374306,East,February,0.253
2023-02-02,Books,1255.406279,17,350.4886244,West,February,0.279
2023-03-02,Electronics,813.8908832,15,212.4069588,West,March,0.261
2023-03-02,Clothing,1712.242523,14,408.8157351,North,March,0.239
2023-03-02,Home Goods,906.7827206,14,130.8684488,East,March,0.144
2023-03-02,Sports,1172.967089,14,381.0792597,West,March,0.325
2023-03-02,Books,1093.375046,13,393.7948707,South,March,0.360
2023-04-02,Electronics,518.0661039,5,80.13714001,East,April,0.155
2023-04-02,Clothing,1061.039091,17,173.4102894,South,April,0.163
2023-04-02,Home Goods,531.8482257,13,147.8951505,West,April,0.278
2023-04-02,Sports,1062.006839,10,357.6322596,North,April,0.337
2023-04-02,Books,1771.997486,2,473.6951164,West,April,0.267
2023-05-02,Electronics,812.7949813,17,218.9162193,South,May,0.269
2023-05-02,Clothing,737.314524,2,127.7809916,East,May,0.173
2023-05-02,Home Goods,585.1600807,13,116.5080313,North,May,0.199
2023-05-02,Sports,891.5731482,6,186.8800138,West,May,0.210
2023-05-02,Books,928.4519898,4,329.8281642,South,May,0.355
2023-06-02,Electronics,751.4248687,9,93.22937641,East,June,0.124
2023-06-02,Clothing,0,8,258.5367897,West,June,
2023-06-02,Home Goods,928.3155859,11,333.870685,South,June,0.360
2023-06-02,Sports,727.7309014,17,179.9130056,South,June,0.247
2023-06-02,Books,1158.494983,15,301.8007092,South,June,0.261
2023-07-02,Electronics,1062.251046,19,373.4606645,North,July,0.352
2023-07-02,Clothing,830.632899,19,132.7783951,West,July,0.160
2023-07-02,Home Goods,0,17,181.1074039,North,July,
2023-07-02,Sports,542.71284,5,136.6720187,East,July,0.252
2023-07-02,Books,1239.320894,4,243.1456599,East,July,0.196
2023-08-02,Electronics,955.4345785,10,252.7897745,South,August,0.265
2023-08-02,Clothing,877.7619587,12,140.8975936,West,August,0.161
2023-08-02,Home Goods,819.4093963,5,82.60734057,North,August,0.101
2023-08-02,Sports,1228.075328,11,297.1326542,South,August,0.242
2023-08-02,Books,468.9270435,17,166.5714381,West,August,0.355
2023-09-02,Electronics,690.2112793,12,153.610308,North,September,0.223
2023-09-02,Clothing,1050.918785,12,224.6534117,North,September,0.214
2023-09-02,Home Goods,1026.818176,8,324.9663537,West,September,0.316
2023-09-02,Sports,964.0447242,9,313.4596987,West,September,0.325
2023-09-02,Books,1034.118838,3,154.3729906,North,September,0.149
2023-10-02,Electronics,1196.019921,4,233.0552156,South,October,0.195
2023-10-02,Clothing,612.6626833,18,211.3562695,East,October,0.345
2023-10-02,Home Goods,1165.759946,6,305.352537,East,October,0.262
2023-10-02,Sports,1088.665135,15,297.4732643,North,October,0.273
2023-10-02,Books,928.2464002,14,111.3763254,West,October,0.120
2023-11-02,Electronics,1246.931493,19,327.7619196,South,November,0.263
2023-11-02,Clothing,1049.558314,8,323.3849561,West,November,0.308
2023-11-02,Home Goods,1170.681002,15,425.6464243,North,November,0.364
2023-11-02,Sports,1289.776602,4,515.017838,North,November,0.399
2023-11-02,Books,1024.616461,1,319.7767917,East,November,0.312
2023-12-02,Electronics,1452.931394,10,294.399533,South,December,0.203
2023-12-02,Clothing,1120.610344,13,149.253555,West,December,0.133
2023-12-02,Home Goods,1677.159484,15,568.8733938,North,December,0.339
2023-12-02,Sports,719.9085672,15,160.3139574,North,December,0.223
2023-12-02,Books,1260.881776,19,339.9999284,South,December,0.270
2023-02-13,Electronics,1406.691358,11,393.4639649,West,February,0.280
2023-02-13,Clothing,466.3839253,15,86.92411596,East,February,0.186
2023-02-13,Home Goods,1448.813293,12,541.2124968,West,February,0.374
2023-02-13,Sports,1733.725594,15,551.0277097,East,February,0.318
2023-02-13,Books,1038.766355,12,135.7291584,West,February,0.131
2023-02-14,Electronics,1144.30277,8,338.038668,North,February,0.295
2023-02-14,Clothing,1067.165207,9,242.5017695,North,February,0.227
2023-02-14,Home Goods,811.7743347,4,111.536823,North,February,0.137
2023-02-14,Sports,851.3832271,1,307.3228743,East,February,0.361
2023-02-14,Books,1161.329788,15,135.2118755,North,February,0.116
2023-02-15,Electronics,592.3865456,10,201.9185289,North,February,0.341
2023-02-15,Clothing,0,11,273.4050025,East,February,
2023-02-15,Home Goods,1073.831105,18,262.2844215,East,February,0.244
2023-02-15,Sports,549.1704947,12,205.2935717,South,February,0.374
2023-02-15,Books,921.7794505,7,137.9479775,North,February,0.150
2023-02-16,Electronics,0,11,269.6102014,West,February,
2023-02-16,Clothing,1208.861909,18,361.5237073,East,February,0.299
2023-02-16,Home Goods,988.8892259,8,247.8734931,North,February,0.251
2023-02-16,Sports,1128.834474,13,247.4353631,East,February,0.219
2023-02-16,Books,0,17,117.5590371,South,February,
2023-02-17,Electronics,956.6918764,16,257.7828647,South,February,0.269
2023-02-17,Clothing,1311.997732,18,337.5994264,West,February,0.257
2023-02-17,Home Goods,699.8139158,17,154.1192617,South,February,0.220
2023-02-17,Sports,893.040373,8,320.186843,East,February,0.359
2023-02-17,Books,1071.488879,3,227.1479221,South,February,0.212
2023-02-18,Electronics,1019.089972,1,109.6702914,West,February,0.108
2023-02-18,Clothing,1285.454219,18,462.8896579,West,February,0.360
2023-02-18,Home Goods,1216.501619,8,159.6446395,East,February,0.131
2023-02-18,Sports,661.2844686,5,101.5490905,North,February,0.154
2023-02-18,Books,1514.997333,3,262.0212995,South,February,0.173
2023-02-19,Electronics,1132.290455,14,395.2440538,West,February,0.349
2023-02-19,Clothing,492.0201476,18,51.12117726,East,February,0.104
2023-02-19,Home Goods,729.8401344,1,118.5011332,East,February,0.162
2023-02-19,Sports,1410.211076,1,486.8514972,West,February,0.345
2023-02-19,Books,1287.476148,11,228.9480596,South,February,0.178
2023-02-20,Electronics,901.2007005,5,183.4462909,West,February,0.204
2023-02-20,Clothing,970.9521888,9,224.1326213,West,February,0.231
2023-02-20,Home Goods,893.4903017,14,215.6167542,West,February,0.241
2023-02-20,Sports,1077.24197,17,264.3912781,North,February,0.245
2023-02-20,Books,1092.340531,13,241.1505715,North,February,0.221
2023-02-21,Electronics,486.9494822,11,110.299502,South,February,0.227
2023-02-21,Clothing,613.4657861,5,64.73119386,South,February,0.106
2023-02-21,Home Goods,1030.245227,10,281.2105268,South,February,0.273
2023-02-21,Sports,955.3910728,6,333.3574809,East,February,0.349
2023-02-21,Books,796.227425,10,113.0687226,East,February,0.142
2023-02-22,Electronics,1486.160034,7,404.218161,North,February,0.272
2023-02-22,Clothing,1471.148391,14,167.843011,West,February,0.114
2023-02-22,Home Goods,1044.162349,11,194.849174,West,February,0.187
2023-02-22,Sports,933.2375583,4,294.6359493,East,February,0.316
2023-02-22,Books,1162.300562,15,448.9107909,South,February,0.386
2023-02-23,Electronics,1039.880856,5,254.9023364,South,February,0.245
2023-02-23,Clothing,827.3086521,13,121.1193453,North,February,0.146
2023-02-23,Home Goods,1036.602944,2,136.8103134,North,February,0.132
2023-02-23,Sports,686.2261993,11,191.7904903,North,February,0.279
2023-02-23,Books,465.832995,7,57.1949859,South,February,0.123
2023-02-24,Electronics,1189.722322,6,329.635412,East,February,0.277
2023-02-24,Clothing,1291.766335,5,164.6674252,East,February,0.127
2023-02-24,Home Goods,1065.252372,12,279.703618,West,February,0.263
2023-02-24,Sports,1583.761385,19,506.2769887,North,February,0.320
2023-02-24,Books,1241.440954,16,440.4119732,North,February,0.355
2023-02-25,Electronics,1279.076004,18,315.7111184,East,February,0.247
2023-02-25,Clothing,915.0054053,15,103.6240248,West,February,0.113
2023-02-25,Home Goods,0,7,414.4454203,South,February,
2023-02-25,Sports,1245.54542,14,169.5894459,East,February,0.136
2023-02-25,Books,1040.154296,9,164.1152415,West,February,0.158
2023-02-26,Electronics,1338.720831,7,316.6651828,East,February,0.237
2023-02-26,Clothing,0,10,286.2866674,South,February,
2023-02-26,Home Goods,578.4520233,13,71.19932288,North,February,0.123
2023-02-26,Sports,0,11,232.3194715,East,February,
2023-02-26,Books,1433.251924,17,374.8246839,South,February,0.262
2023-02-27,Electronics,428.6463784,13,123.3504594,West,February,0.288
2023-02-27,Clothing,0,2,139.8426763,South,February,
2023-02-27,Home Goods,941.1216402,2,100.1172949,East,February,0.106
2023-02-27,Sports,868.7002991,3,105.1204778,South,February,0.121
2023-02-27,Books,644.0994714,17,142.0749938,North,February,0.221
2023-02-28,Electronics,1779.311393,12,703.2284178,South,February,0.395
2023-02-28,Clothing,804.8887168,7,206.6598122,North,February,0.257
2023-02-28,Home Goods,873.9439549,14,165.263556,South,February,0.189
2023-02-28,Sports,915.4646173,4,288.0655843,North,February,0.315
2023-02-28,Books,989.5945338,17,215.2259673,West,February,0.217
2023-01-03,Electronics,1070.26442,12,414.1117495,North,January,0.387
2023-01-03,Clothing,1295.29672,14,362.993349,South,January,0.280
2023-01-03,Home Goods,935.8033467,13,371.2850994,East,January,0.397
2023-01-03,Sports,1049.935662,19,266.4805517,South,January,0.254
2023-01-03,Books,1147.735379,11,175.5557782,South,January,0.153
2023-02-03,Electronics,1140.569048,15,188.0766503,North,February,0.165
2023-02-03,Clothing,1152.456933,3,321.7454871,North,February,0.279
2023-02-03,Home Goods,887.9802195,18,219.6471484,North,February,0.247
2023-02-03,Sports,647.9289379,3,223.3734608,South,February,0.345
2023-02-03,Books,1413.482436,9,520.8349652,North,February,0.368
2023-03-03,Electronics,1205.075724,2,285.8796672,West,March,0.237
2023-03-03,Clothing,816.1633929,9,92.48192177,South,March,0.113
2023-03-03,Home Goods,883.689532,12,97.75966605,East,March,0.111
2023-03-03,Sports,1197.563282,2,266.5008993,East,March,0.223
2023-03-03,Books,1603.061362,6,285.2265124,North,March,0.178
2023-04-03,Electronics,1013.677649,5,168.3262021,North,April,0.166
2023-04-03,Clothing,810.702361,5,322.2076546,South,April,0.397
2023-04-03,Home Goods,0,19,0,West,April,
2023-04-03,Sports,738.9330274,8,224.1958612,East,April,0.303
2023-04-03,Books,1122.824025,19,404.7199451,West,April,0.360
2023-05-03,Electronics,1191.391981,1,175.3755182,West,May,0.147
2023-05-03,Clothing,1246.144654,10,164.1798425,East,May,0.132
2023-05-03,Home Goods,1152.182209,6,180.6235285,North,May,0.157
2023-05-03,Sports,888.9029894,7,131.7602846,West,May,0.148
2023-05-03,Books,749.9323038,2,262.2065207,North,May,0.350
2023-06-03,Electronics,765.3712944,13,218.1905757,North,June,0.285
2023-06-03,Clothing,815.4945966,9,236.1216149,East,June,0.290
2023-06-03,Home Goods,933.6408005,19,306.5220901,South,June,0.328
2023-06-03,Sports,1056.916265,9,411.0322001,East,June,0.389
2023-06-03,Books,644.3739986,5,84.25378086,West,June,0.131
2023-07-03,Electronics,880.3322523,4,105.9489705,East,July,0.120
2023-07-03,Clothing,1147.125872,17,315.0594261,North,July,0.275
2023-07-03,Home Goods,818.8659283,18,295.9881316,West,July,0.361
2023-07-03,Sports,824.0355734,3,229.3445572,West,July,0.278
2023-07-03,Books,1573.241377,7,188.2978675,North,July,0.120
2023-08-03,Electronics,960.6884779,19,168.8435217,East,August,0.176
2023-08-03,Clothing,389.4279278,2,70.91015247,North,August,0.182
2023-08-03,Home Goods,1026.685682,11,170.6668683,South,August,0.166
2023-08-03,Sports,1349.774115,15,410.5335143,South,August,0.304
2023-08-03,Books,1129.252073,5,329.2422324,South,August,0.292
2023-09-03,Electronics,1072.992299,19,195.5684701,East,September,0.182
2023-09-03,Clothing,665.0242587,6,112.3800433,North,September,0.169
2023-09-03,Home Goods,648.5970971,3,70.91775244,North,September,0.109
2023-09-03,Sports,1150.726639,12,278.4332375,West,September,0.242
2023-09-03,Books,1516.249089,14,244.283459,North,September,0.161
2023-10-03,Electronics,1212.314662,14,314.1183886,East,October,0.259
2023-10-03,Clothing,1216.762024,3,412.5302038,West,October,0.339
2023-10-03,Home Goods,1374.76053,14,384.2430655,South,October,0.279
2023-10-03,Sports,1147.42137,12,199.9519275,North,October,0.174
2023-10-03,Books,987.9526148,2,335.1804412,East,October,0.339
2023-11-03,Electronics,570.7674694,13,82.6894764,North,November,0.145
2023-11-03,Clothing,948.0895364,14,372.0397728,South,November,0.392
2023-11-03,Home Goods,793.552093,11,244.8065084,North,November,0.308
2023-11-03,Sports,1281.954431,9,221.2826473,North,November,0.173
2023-11-03,Books,1253.804063,14,178.9788536,West,November,0.143
2023-12-03,Electronics,558.2474866,1,149.5514899,West,December,0.268
2023-12-03,Clothing,973.091312,18,192.61213,South,December,0.198
2023-12-03,Home Goods,0,1,453.9719368,South,December,
2023-12-03,Sports,1027.475722,7,143.6562367,East,December,0.140
2023-12-03,Books,1189.63483,15,190.3951936,East,December,0.160
2023-03-13,Electronics,706.3700056,12,92.79607635,East,March,0.131
2023-03-13,Clothing,0,9,472.3635459,West,March,
2023-03-13,Home Goods,1414.9435,8,444.612149,South,March,0.314
2023-03-13,Sports,1155.420083,7,344.5994591,West,March,0.298
2023-03-13,Books,1392.395991,4,388.8164979,South,March,0.279
2023-03-14,Electronics,1622.578262,9,242.088424,South,March,0.149
2023-03-14,Clothing,793.2436546,11,251.8135862,West,March,0.317
2023-03-14,Home Goods,804.5745989,13,229.080577,East,March,0.285
2023-03-14,Sports,0,14,171.8804434,West,March,
2023-03-14,Books,944.1830485,19,140.2128475,South,March,0.149
2023-03-15,Electronics,1312.829553,18,388.5698545,North,March,0.296
2023-03-15,Clothing,661.6518338,3,109.9455852,South,March,0.166
2023-03-15,Home Goods,0,15,207.3196046,West,March,
2023-03-15,Sports,1339.375837,5,272.9386748,West,March,0.204
2023-03-15,Books,917.5757514,18,330.4276981,West,March,0.360
2023-03-16,Electronics,877.1634265,2,215.7828015,South,March,0.246
2023-03-16,Clothing,1022.984832,15,378.7197866,South,March,0.370
2023-03-16,Home Goods,733.5367734,3,210.4443466,West,March,0.287
2023-03-16,Sports,591.0881024,15,100.9209807,South,March,0.171
2023-03-16,Books,1148.209056,10,196.6457246,South,March,0.171
2023-03-17,Electronics,1078.20213,2,166.3591337,North,March,0.154
2023-03-17,Clothing,967.8022013,15,268.9285399,East,March,0.278
2023-03-17,Home Goods,779.2144242,2,100.1901847,North,March,0.129
2023-03-17,Sports,1112.284017,2,397.5257207,North,March,0.357
2023-03-17,Books,973.9465669,1,323.3911053,West,March,0.332
2023-03-18,Electronics,578.1146114,11,211.0771028,South,March,0.365
2023-03-18,Clothing,834.2116015,14,166.2306838,North,March,0.199
2023-03-18,Home Goods,1298.880046,1,305.0161967,West,March,0.235
2023-03-18,Sports,851.8730251,11,327.6090741,North,March,0.385
2023-03-18,Books,895.4043597,11,287.3537084,North,March,0.321
2023-03-19,Electronics,895.2226887,12,216.9923675,North,March,0.242
2023-03-19,Clothing,859.6861684,15,309.9008599,West,March,0.360
2023-03-19,Home Goods,1537.343136,18,608.8000178,North,March,0.396
2023-03-19,Sports,1218.288863,1,166.4584308,South,March,0.137
2023-03-19,Books,1015.583766,5,386.0868687,North,March,0.380
2023-03-20,Electronics,1057.281325,12,152.7802814,North,March,0.145
2023-03-20,Clothing,731.6310303,18,284.9963389,East,March,0.390
2023-03-20,Home Goods,1020.326072,15,261.7330379,East,March,0.257
2023-03-20,Sports,1120.034342,12,290.8432341,East,March,0.260
2023-03-20,Books,718.4596269,8,280.8987567,North,March,0.391
2023-03-21,Electronics,1193.280448,8,175.2322236,South,March,0.147
2023-03-21,Clothing,942.7952798,2,281.414685,East,March,0.298
2023-03-21,Home Goods,1065.229862,11,324.8678471,South,March,0.305
2023-03-21,Sports,1200.540439,15,325.5660666,West,March,0.271
2023-03-21,Books,844.9309411,8,286.1384922,West,March,0.339
2023-03-22,Electronics,677.0018475,16,235.6316203,West,March,0.348
2023-03-22,Clothing,0,5,327.9293785,South,March,
2023-03-22,Home Goods,1301.542772,9,165.4840161,East,March,0.127
2023-03-22,Sports,924.285987,9,122.6831498,South,March,0.133
2023-03-22,Books,494.5643816,6,114.4677688,South,March,0.231
2023-03-23,Electronics,719.8833242,18,261.5820942,East,March,0.363
2023-03-23,Clothing,1386.926959,7,141.0887483,East,March,0.102
2023-03-23,Home Goods,0,1,193.4750911,East,March,
2023-03-23,Sports,394.1333353,1,67.50055171,North,March,0.171
2023-03-23,Books,1321.420273,3,222.2376352,South,March,0.168
2023-03-24,Electronics,0,14,183.9294576,South,March,
2023-03-24,Clothing,1093.623826,9,233.9652159,South,March,0.214
2023-03-24,Home Goods,510.7979898,4,144.2348088,West,March,0.282
2023-03-24,Sports,1051.291291,6,340.68431,West,March,0.324
2023-03-24,Books,1227.678577,4,464.1979929,East,March,0.378
2023-03-25,Electronics,0,4,412.4145365,South,March,
2023-03-25,Clothing,859.9555163,4,152.2404794,West,March,0.177
2023-03-25,Home Goods,871.8025952,14,167.5491162,East,March,0.192
2023-03-25,Sports,1736.73286,10,491.6693071,South,March,0.283
2023-03-25,Books,1293.668062,2,235.172295,West,March,0.182
2023-03-26,Electronics,1027.430238,7,312.6833475,South,March,0.304
2023-03-26,Clothing,1394.320727,7,359.1059301,East,March,0.258
2023-03-26,Home Goods,1284.681997,10,482.1742298,West,March,0.375
2023-03-26,Sports,801.366245,4,101.0616505,South,March,0.126
